dataset,model,fairness_level,group,selection_rate,tpr,fpr
australian,LogisticRegression,0.0,0.0,0.53125,1.0,0.2857142857142857
australian,LogisticRegression,0.0,1.0,0.5566037735849056,0.92,0.23214285714285715
australian,LogisticRegression,0.25,0.0,0.53125,1.0,0.2857142857142857
australian,LogisticRegression,0.25,1.0,0.5566037735849056,0.92,0.23214285714285715
australian,LogisticRegression,0.5,0.0,0.53125,1.0,0.2857142857142857
australian,LogisticRegression,0.5,1.0,0.5566037735849056,0.92,0.23214285714285715
australian,LogisticRegression,0.75,0.0,0.53125,1.0,0.2857142857142857
australian,LogisticRegression,0.75,1.0,0.5566037735849056,0.92,0.23214285714285715
australian,LogisticRegression,1.0,0.0,0.5,1.0,0.23809523809523808
australian,LogisticRegression,1.0,1.0,0.5660377358490566,0.92,0.25
australian,DecisionTree,0.0,0.0,0.4375,0.8181818181818182,0.23809523809523808
australian,DecisionTree,0.0,1.0,0.5,0.78,0.25
australian,DecisionTree,0.25,0.0,0.4375,0.8181818181818182,0.23809523809523808
australian,DecisionTree,0.25,1.0,0.49056603773584906,0.76,0.25
australian,DecisionTree,0.5,0.0,0.375,0.6363636363636364,0.23809523809523808
australian,DecisionTree,0.5,1.0,0.49056603773584906,0.78,0.23214285714285715
australian,DecisionTree,0.75,0.0,0.40625,0.7272727272727273,0.23809523809523808
australian,DecisionTree,0.75,1.0,0.5094339622641509,0.8,0.25
australian,DecisionTree,1.0,0.0,0.40625,0.7272727272727273,0.23809523809523808
australian,DecisionTree,1.0,1.0,0.5283018867924528,0.82,0.26785714285714285
australian,RandomForest,0.0,0.0,0.53125,1.0,0.2857142857142857
australian,RandomForest,0.0,1.0,0.5283018867924528,0.86,0.23214285714285715
australian,RandomForest,0.25,0.0,0.46875,0.9090909090909091,0.23809523809523808
australian,RandomForest,0.25,1.0,0.5283018867924528,0.86,0.23214285714285715
australian,RandomForest,0.5,0.0,0.53125,1.0,0.2857142857142857
australian,RandomForest,0.5,1.0,0.5377358490566038,0.86,0.25
australian,RandomForest,0.75,0.0,0.53125,1.0,0.2857142857142857
australian,RandomForest,0.75,1.0,0.5283018867924528,0.86,0.23214285714285715
australian,RandomForest,1.0,0.0,0.4375,0.9090909090909091,0.19047619047619047
australian,RandomForest,1.0,1.0,0.5188679245283019,0.88,0.19642857142857142
australian,GradientBoosting,0.0,0.0,0.46875,1.0,0.19047619047619047
australian,GradientBoosting,0.0,1.0,0.49056603773584906,0.82,0.19642857142857142
australian,GradientBoosting,0.25,0.0,0.46875,1.0,0.19047619047619047
australian,GradientBoosting,0.25,1.0,0.5,0.8,0.23214285714285715
australian,GradientBoosting,0.5,0.0,0.46875,1.0,0.19047619047619047
australian,GradientBoosting,0.5,1.0,0.5,0.82,0.21428571428571427
australian,GradientBoosting,0.75,0.0,0.4375,0.9090909090909091,0.19047619047619047
australian,GradientBoosting,0.75,1.0,0.5094339622641509,0.82,0.23214285714285715
australian,GradientBoosting,1.0,0.0,0.46875,1.0,0.19047619047619047
australian,GradientBoosting,1.0,1.0,0.5283018867924528,0.82,0.26785714285714285
australian,EBM,0.0,0.0,0.5,1.0,0.23809523809523808
australian,EBM,0.0,1.0,0.5377358490566038,0.88,0.23214285714285715
australian,EBM,0.25,0.0,0.46875,1.0,0.19047619047619047
australian,EBM,0.25,1.0,0.5471698113207547,0.9,0.23214285714285715
australian,EBM,0.5,0.0,0.5,1.0,0.23809523809523808
australian,EBM,0.5,1.0,0.5377358490566038,0.88,0.23214285714285715
australian,EBM,0.75,0.0,0.4375,1.0,0.14285714285714285
australian,EBM,0.75,1.0,0.5566037735849056,0.9,0.25
australian,EBM,1.0,0.0,0.5,1.0,0.23809523809523808
australian,EBM,1.0,1.0,0.5471698113207547,0.9,0.23214285714285715
australian,XGBoost,0.0,0.0,0.46875,1.0,0.19047619047619047
australian,XGBoost,0.0,1.0,0.5094339622641509,0.9,0.16071428571428573
australian,XGBoost,0.25,0.0,0.46875,1.0,0.19047619047619047
australian,XGBoost,0.25,1.0,0.5094339622641509,0.9,0.16071428571428573
australian,XGBoost,0.5,0.0,0.4375,1.0,0.14285714285714285
australian,XGBoost,0.5,1.0,0.5094339622641509,0.9,0.16071428571428573
australian,XGBoost,0.75,0.0,0.40625,0.9090909090909091,0.14285714285714285
australian,XGBoost,0.75,1.0,0.5094339622641509,0.88,0.17857142857142858
australian,XGBoost,1.0,0.0,0.40625,0.9090909090909091,0.14285714285714285
australian,XGBoost,1.0,1.0,0.5094339622641509,0.88,0.17857142857142858
german,LogisticRegression,0.0,female,0.6666666666666666,0.725,0.55
german,LogisticRegression,0.0,male,0.7642857142857142,0.85,0.55
german,LogisticRegression,0.25,female,0.7166666666666667,0.8,0.55
